id,block_timestamp,event_index,extrinsic_index,phase,module_id,event_id,extrinsic_hash,finalized,params
3016360900000,1758263274,30163609-0,,2,staking,EraPaid,0x8f877bf4e5b2306f2a7dd8db82d09ac23323a4397ac47acc350bc02542a2daad,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8588, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837956328075056', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291746627040921', 'name': 'remainder'}]"
3016005900000,1758241674,30160059-0,,2,staking,EraPaid,0x939fd7a8cc2d395e176f7852d20571c88d28afdf68f4930f58f2987f1bdfea30,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8587, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837920106500199', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291731225178131', 'name': 'remainder'}]"
3015650000000,1758220074,30156500-0,,2,staking,EraPaid,0x9c5618ab3f197e2d5a3916ece435059803d26136370a4a55baa5be5d4fc5e591,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8586, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837849233148208', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291748542306995', 'name': 'remainder'}]"
3015294700000,1758198474,30152947-0,,2,staking,EraPaid,0x73e2d5b63a662af6a55a406dc289094f75f92eb4c4e56a327f03c322c3be466a,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8585, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837774900223135', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291767981695393', 'name': 'remainder'}]"
3014938400000,1758176874,30149384-0,,2,staking,EraPaid,0x452374c8b69c48357292b403acd3e92f0c4fd9868908d7d31704391db473a08a,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8584, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837859156603477', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291633098647215', 'name': 'remainder'}]"
3014583200000,1758155274,30145832-0,,2,staking,EraPaid,0xe619ac14e8788ae81c55605f064201a5b814afb4d6d2cf526d15e263f1aa89f0,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8583, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837861570633001', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291576140990175', 'name': 'remainder'}]"
3014227600000,1758133674,30142276-0,,2,staking,EraPaid,0x9cdb4d4d31dedaab1268d0ffccc35579bd9c1d22eacd2bc42b8de3e9bd3ffdc5,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8582, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837746901149551', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291643571858816', 'name': 'remainder'}]"
3013872100000,1758112074,30138721-0,,2,staking,EraPaid,0x4da7b8605484a90b11a491d25bb48ebd57847b4b87b591422353ab4f38a7d0ec,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8581, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837388659707887', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291607868034259', 'name': 'remainder'}]"
3013516900000,1758090474,30135169-0,,2,staking,EraPaid,0xe578ab4548470e371a991177838852479500851e8b0ba575c499b3efb0655785,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8580, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837577790228352', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291650278501203', 'name': 'remainder'}]"
3013163200000,1758068874,30131632-0,,2,staking,EraPaid,0xb52adbcaacc57fed968860bcc3f440429c661d953becd58b17aa7a14aabf304b,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8579, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837550955314036', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291618716455683', 'name': 'remainder'}]"
3012807800000,1758047274,30128078-0,,2,staking,EraPaid,0x143ab6f3c5bdae328d920b78ef4241677a548603721309afde9c4f447e12cd62,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8578, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837564480608367', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291553725976156', 'name': 'remainder'}]"
3012453400000,1758025674,30124534-0,,2,staking,EraPaid,0xde9b251ab61a0cdd4cd1b2a76fef3a36e12724ac5cd9376f72fd020d21dcf084,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8577, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837441693864417', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291616474968454', 'name': 'remainder'}]"
3012099700000,1758004074,30120997-0,,2,staking,EraPaid,0x49de0cedd03fbe496fb79b162dff56cc9edf09c1ba81fafbe83a90ac978941fb,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8576, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837233662050187', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291766453185832', 'name': 'remainder'}]"
3011744700000,1757982474,30117447-0,,2,staking,EraPaid,0x37bd29b918813f60c001a88dce56d1a9edfdcc3d765e1f90b2ed061d309a9a82,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8575, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837156167150017', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291787282314215', 'name': 'remainder'}]"
3011389600000,1757960874,30113896-0,,2,staking,EraPaid,0xbf489af47118e5b1786b62b3b6d74faec9ef56387ceb966818e9b6d6be087c96,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8574, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836775199500113', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '292115187020094', 'name': 'remainder'}]"
3011033900000,1757939274,30110339-0,,2,staking,EraPaid,0xe02a402cdf3e94bfdd94de5bfc638f105dda0330b1f59d1f8c7fa00926bf5538,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8573, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836967237686239', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291853291361124', 'name': 'remainder'}]"
3010678800000,1757917674,30106788-0,,2,staking,EraPaid,0xf5bca92da4453f0d240843eae5b608d3ea07b95d532002cd671a36bdd7254cb3,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8572, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837062618259142', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291701026211121', 'name': 'remainder'}]"
3010322700000,1757896074,30103227-0,,2,staking,EraPaid,0x24b3ba15d0c7e3a306b6c971d57f9c16f090c83d5ea3e058119f82dc580ad798,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8571, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837072560768461', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291635760274875', 'name': 'remainder'}]"
3009967300000,1757874474,30099673-0,,2,staking,EraPaid,0x609f64057be3dbc775fe1ae91631ba4f654890ed10a6261dbaf5cb0060bd6daa,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8570, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '836737155970582', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291918386177565', 'name': 'remainder'}]"
3009612400000,1757852874,30096124-0,,2,staking,EraPaid,0x7c9cad60962992942e0dbe23e9bdb7b5f93d8a44a37c0e98e13a0779e5437914,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 8569, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '837014956590410', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '291585619103279', 'name': 'remainder'}]"
