id,block_timestamp,event_index,extrinsic_index,phase,module_id,event_id,extrinsic_hash,finalized,params
2780948800000,1758123378,27809488-0,,2,staking,EraPaid,0x01685065ca57bbfd99497c940bbf3782f328b90f33fefe6f598eb6f27bf968da,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1933, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2779521200000,1758036978,27795212-0,,2,staking,EraPaid,0xf18cce521513dc1f4802f4f5e9834caccf2dafbc6290ab1bada806c28ee4b3a9,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1932, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2778095800000,1757950578,27780958-0,,2,staking,EraPaid,0x4953618e0363c08a9aa6392323fe32709e313b6b79817e6608ca68f59bcb5263,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1931, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2776662700000,1757864178,27766627-0,,2,staking,EraPaid,0x001320f4a723817633766ece3399cb3dfc7287ce2ed83db6cafb542b6f2c7e22,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1930, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584054732686', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161892011650', 'name': 'remainder'}]"
2775228100000,1757777778,27752281-0,,2,staking,EraPaid,0x5ec88c49222bca8c88fd244e2c6c6f8012dde456d33928a364a37dcca6c94896,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1929, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2773794800000,1757691378,27737948-0,,2,staking,EraPaid,0x125dca13d673386c3467802843523747ef275827639d3b5f2c81a3369af51aa4,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1928, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794583990038747', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161880595073', 'name': 'remainder'}]"
2772359500000,1757604978,27723595-0,,2,staking,EraPaid,0x35cc313a45f1949e21d9b6387d592b776e7abeb095bccaf03f559abba5772837,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1927, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2770926700000,1757518578,27709267-0,,2,staking,EraPaid,0x621bb4bb29d0b10508d0c14ed825ae0ad6bd6a9de2b96b2ecdb6dfbc2a978921,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1926, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
2769493100000,1757432178,27694931-0,,2,staking,EraPaid,0x272e443140bba151cab1e0c0030e53342a25f204ceb295f2abf91d9576d69581,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1925, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584054732686', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161892011650', 'name': 'remainder'}]"
2768058700000,1757345778,27680587-0,,2,staking,EraPaid,0x7066145860729bde3c2a71e05352e3a0d51637b330ae55781468528406151db1,True,"[{'type': 'U32', 'type_name': 'EraIndex', 'value': 1924, 'name': 'era_index'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '2794584022385717', 'name': 'validator_payout'}, {'type': 'U128', 'type_name': 'BalanceOf', 'value': '493161886303361', 'name': 'remainder'}]"
